paste_count,tab_hidden_count,idle_spike_count,time_per_question,questions_seen,attempt_duration,paste_per_question,tab_per_question,speed,tab_density,paste_density,idle_ratio,suspicious_combo,fast_paste,fast_tab,risk
2,0,0,12.0,6,72.0,0.3333333333333333,0.0,0.08333326388894677,0.0,0.027777773919753623,0.0,0.0,0.02777775462964892,0.0,0
8,10,0,5.571428571428571,7,39.0,1.1428571428571428,1.4285714285714286,0.17948685733128172,0.2564101906640536,0.20512815253124292,0.0,1.6326530612244898,0.20512783695003625,0.25640979618754534,2
0,1,0,60.4,5,302.0,0.0,0.2,0.016556288649621085,0.0033112581685013852,0.0,0.0,0.0,0.0,0.003311257729924217,0
0,4,0,23.25,4,93.0,0.0,1.0,0.04301073418893153,0.04301074806336042,0.0,0.0,0.0,0.0,0.04301073418893153,0
0,2,0,23.0,4,92.0,0.0,0.5,0.043478241965981754,0.021739128071833903,0.0,0.0,0.0,0.0,0.021739120982990877,0
0,1,0,53.0,5,265.0,0.0,0.2,0.018867920968316798,0.0037735847632609527,0.0,0.0,0.0,0.0,0.0037735841936633596,0
8,11,0,5.166666666666667,6,31.0,1.3333333333333333,1.8333333333333333,0.19354801248771777,0.35483859521335637,0.258064432882441,0.0,2.444444444444444,0.25806401665029033,0.35483802289414923,2
2,4,0,29.8,5,149.0,0.4,0.8,0.03355703571911553,0.026845635782172094,0.013422817891086047,0.0,0.32000000000000006,0.013422814287646212,0.026845628575292425,1
6,4,0,26.5,8,212.0,0.75,0.5,0.037735834816666106,0.01886792363830549,0.028301885457458233,0.0,0.375,0.02830187611249958,0.018867917408333053,1
0,5,0,24.0,7,168.0,0.0,0.7142857142857143,0.04166664930556279,0.029761902990362916,0.0,0.0,0.0,0.0,0.02976189236111628,0
0,0,0,53.25,4,213.0,0.0,0.0,0.018779339196368226,0.0,0.0,0.0,0.0,0.0,0.0,0
6,7,0,43.625,8,349.0,0.75,0.875,0.022922630848680604,0.02005730601554997,0.01719197658475712,0.0,0.65625,0.017191973136510455,0.02005730199259553,1
1,5,0,25.166666666666668,6,151.0,0.16666666666666666,0.8333333333333334,0.03973508354897342,0.03311258058857082,0.006622516117714164,0.0,0.1388888888888889,0.006622513924828903,0.033112569624144515,1
2,3,0,18.25,4,73.0,0.5,0.75,0.05479449052356684,0.04109588478138564,0.027397256520923764,0.0,0.375,0.02739724526178342,0.04109586789267513,1
0,5,0,13.857142857142858,7,97.0,0.0,0.7142857142857143,0.07216489637584797,0.05154638643851686,0.0,0.0,0.0,0.0,0.05154635455417712,0
1,7,0,69.375,8,555.0,0.125,0.875,0.014414412336661284,0.012612612385358336,0.0018018017693369052,0.0,0.109375,0.0018018015420826605,0.012612610794578623,1
3,4,0,65.33333333333333,6,392.0,0.5,0.6666666666666666,0.015306120106206106,0.010204081372344864,0.007653061029258648,0.0,0.3333333333333333,0.007653060053103053,0.01020408007080407,1
0,1,0,60.57142857142857,7,424.0,0.0,0.14285714285714285,0.016509431236650503,0.0023584905104129597,0.0,0.0,0.0,0.0,0.0023584901766643576,0
3,6,0,55.0,6,330.0,0.5,1.0,0.018181814876033656,0.018181817630854014,0.009090908815427007,0.0,0.5,0.009090907438016828,0.018181814876033656,1
9,9,0,5.166666666666667,6,31.0,1.5,1.5,0.19354801248771777,0.29032248699274615,0.29032248699274615,0.0,2.25,0.29032201873157665,0.29032201873157665,2
1,1,0,58.0,6,348.0,0.16666666666666666,0.16666666666666666,0.017241376337693733,0.0028735631358171513,0.0028735631358171513,0.0,0.027777777777777776,0.0028735627229489556,0.0028735627229489556,0
5,3,0,26.5,8,212.0,0.625,0.375,0.037735834816666106,0.014150942728729117,0.02358490454788186,0.0,0.234375,0.023584896760416314,0.01415093805624979,1
7,1,0,26.0,8,208.0,0.875,0.125,0.03846152366864474,0.004807692076553265,0.033653844535872855,0.0,0.109375,0.03365383321006415,0.004807690458580593,1
6,5,0,5.0,5,25.0,1.2,1.0,0.19999960000080003,0.199999920000032,0.2399999040000384,0.0,1.2,0.23999952000096003,0.19999960000080003,2
12,9,0,4.625,8,37.0,1.5,1.125,0.2162157487227055,0.2432431775018439,0.3243242366691252,0.0,1.6875,0.32432362308405827,0.24324271731304367,2
